trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
A20161106WKD_047700_2..N01R,08:17:00,08:17:00,236N,11,,0,0,
A20161106WKD_068950_2..N01R,11:46:30,11:46:30,236N,11,,0,0,
A20161106WKD_090400_2..N01R,15:22:30,15:22:30,236N,11,,0,0,
A20161106WKD_110950_2..N01R,18:47:00,18:47:00,236N,11,,0,0,
A20161106WKD_133550_2..N01R,22:32:00,22:32:00,236N,11,,0,0,
A20161106WKD_099350_2..N03R,16:56:30,16:56:30,236N,14,,0,0,
A20161106WKD_120200_2..N01R,20:19:00,20:19:00,236N,11,,0,0,
A20161106WKD_141400_2..N01R,23:51:00,23:51:00,236N,11,,0,0,
A20161106WKD_030700_2..N08R,05:24:00,05:24:00,236N,11,,0,0,
A20161106WKD_051950_2..N01R,08:58:00,08:58:00,236N,11,,0,0,
A20161106WKD_073750_2..N01R,12:34:30,12:34:30,236N,11,,0,0,
A20161106WKD_094750_2..N01R,16:06:30,16:06:30,236N,11,,0,0,
A20161106WKD_114950_2..N01R,19:27:30,19:27:30,236N,11,,0,0,
A20161106WKD_136650_2..N01R,23:03:30,23:03:30,236N,11,,0,0,
A20161106WKD_054050_2..N01R,09:18:30,09:18:30,236N,11,,0,0,
A20161106WKD_075350_2..N01R,12:50:30,12:50:30,236N,11,,0,0,
A20161106WKD_096350_2..N01R,16:22:30,16:22:30,236N,11,,0,0,
A20161106WKD_116450_2..N01R,19:41:30,19:41:30,236N,11,,0,0,
A20161106WKD_062100_2..N01R,10:38:30,10:38:30,236N,11,,0,0,
A20161106WKD_083350_2..N01R,14:10:30,14:10:30,236N,11,,0,0,
A20161106WKD_104650_2..N01R,17:47:00,17:47:00,236N,11,,0,0,
A20161106WKD_125800_2..N01R,21:14:30,21:14:30,236N,11,,0,0,
A20161106WKD_056300_2..N01R,09:41:30,09:41:30,236N,11,,0,0,
A20161106WKD_077750_2..N01R,13:14:30,13:14:30,236N,11,,0,0,
A20161106WKD_099300_2..N01R,16:50:30,16:50:30,236N,11,,0,0,
A20161106WKD_119400_2..N01R,20:11:00,20:11:00,236N,11,,0,0,
A20161106WKD_140250_2..N01R,23:39:30,23:39:30,236N,11,,0,0,
A20161106WKD_059100_2..N01R,10:10:30,10:10:30,236N,11,,0,0,
A20161106WKD_080950_2..N01R,13:46:30,13:46:30,236N,11,,0,0,
A20161106WKD_102500_2..N01R,17:22:30,17:22:30,236N,11,,0,0,
A20161106WKD_123400_2..N01R,20:52:00,20:52:00,236N,11,,0,0,
A20161106WKD_017100_2..N08R,03:08:00,03:08:00,236N,11,,0,0,
A20161106WKD_039650_2..N01R,06:53:30,06:53:30,236N,11,,0,0,
A20161106WKD_061150_2..N01R,10:28:30,10:28:30,236N,11,,0,0,
A20161106WKD_082550_2..N01R,14:02:30,14:02:30,236N,11,,0,0,
A20161106WKD_104200_2..N01R,17:40:30,17:40:30,236N,11,,0,0,
A20161106WKD_125000_2..N01R,21:07:00,21:07:00,236N,11,,0,0,
A20161106WKD_147100_2..N08R,24:48:00,24:48:00,236N,11,,0,0,
A20161106WKD_025100_2..N08R,04:28:00,04:28:00,236N,11,,0,0,
A20161106WKD_047150_2..N01R,08:10:30,08:10:30,236N,11,,0,0,
A20161106WKD_068150_2..N01R,11:38:30,11:38:30,236N,11,,0,0,
A20161106WKD_089750_2..N01R,15:14:30,15:14:30,236N,11,,0,0,
A20161106WKD_110400_2..N01R,18:41:30,18:41:30,236N,11,,0,0,
A20161106WKD_132550_2..N01R,22:22:00,22:22:00,236N,11,,0,0,
A20161106WKD_021100_2..N08R,03:48:00,03:48:00,236N,11,,0,0,
A20161106WKD_043300_2..N01R,07:31:30,07:31:30,236N,11,,0,0,
A20161106WKD_065050_2..N01R,11:07:30,11:07:30,236N,11,,0,0,
A20161106WKD_086550_2..N01R,14:42:30,14:42:30,236N,11,,0,0,
A20161106WKD_107250_2..N01R,18:10:30,18:10:30,236N,11,,0,0,
A20161106WKD_128550_2..N01R,21:42:00,21:42:00,236N,11,,0,0,
A20161106WKD_044200_2..N01R,07:39:30,07:39:30,236N,11,,0,0,
A20161106WKD_015100_2..N08R,02:48:00,02:48:00,236N,11,,0,0,
A20161106WKD_038550_2..N01R,06:42:30,06:42:30,236N,11,,0,0,
A20161106WKD_036250_2..N01R,06:19:30,06:19:30,236N,11,,0,0,
A20161106WKD_045800_2..N01R,07:55:30,07:55:30,236N,11,,0,0,
A20161106WKD_066650_2..N01R,11:23:30,11:23:30,236N,11,,0,0,
A20161106WKD_088150_2..N01R,14:58:30,14:58:30,236N,11,,0,0,
A20161106WKD_108500_2..N01R,18:22:30,18:22:30,236N,11,,0,0,
A20161106WKD_130550_2..N01R,22:02:00,22:02:00,236N,11,,0,0,
A20161106WKD_153100_2..N08R,25:48:00,25:48:00,236N,11,,0,0,
A20161106WKD_033550_2..N01R,05:52:30,05:52:30,236N,11,,0,0,
A20161106WKD_054600_2..N01R,09:23:30,09:23:30,236N,11,,0,0,
A20161106WKD_076150_2..N01R,12:58:30,12:58:30,236N,11,,0,0,
A20161106WKD_097500_2..N01R,16:32:30,16:32:30,236N,11,,0,0,
A20161106WKD_117850_2..N01R,19:55:30,19:55:30,236N,11,,0,0,
A20161106WKD_139050_2..N01R,23:27:30,23:27:30,236N,11,,0,0,
A20161106WKD_046600_2..N01R,08:04:00,08:04:00,236N,11,,0,0,
A20161106WKD_067350_2..N01R,11:30:30,11:30:30,236N,11,,0,0,
A20161106WKD_088950_2..N01R,15:06:30,15:06:30,236N,11,,0,0,
A20161106WKD_108950_2..N01R,18:28:30,18:28:30,236N,11,,0,0,
A20161106WKD_131550_2..N01R,22:12:00,22:12:00,236N,11,,0,0,
